District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
0530121,Natchaug Hospital Green Valley School,08/31/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,28,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0540011,Glastonbury School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,19%,5712,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0560011,Granby School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,16%,1720,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0570011,Greenwich School District,09/09/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,16%,8978,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0570161,Eagle Hill School,09/02/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,*,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0580011,Griswold School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,1668,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0590011,Groton School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,25%,4065,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0600011,Guilford School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,3081,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0620011,Hamden School District,09/15/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,36%,5400,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0620261,Cedarhurst School,09/08/2020,N/A,"g6, g7, g8",N/A,90%,59,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0620361,Whitney Hall School,08/26/2020,"g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,22%,67,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0626161,Lorraine D. Foster Day School,09/02/2020,N/A,N/A,"g7, g8, g9, g10, g11, g12",*,14,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0630011,Hampton School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,19%,72,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0640011,Hartford School District,09/09/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9","g10, g11, g12",N/A,57%,17263,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0640261,Grace S. Webb School,09/02/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,31%,99,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0642061,Eagle House Education Program,09/01/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,15,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0642161,High Road School of Hartford High,08/31/2020,N/A,"g8, g9, g10, g11, g12",N/A,54%,28,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0642261,High Road School of Hartford-Primary,08/31/2020,N/A,"g2, g3, g4, g5, g6, g7, g8",N/A,41%,34,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0646061,Futures School-West Hartford,08/31/2020,N/A,"g9, g10, g11, g12",N/A,50%,32,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0646161,Options Educational Services,08/31/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,20,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0650011,Hartland School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,11%,145,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0670221,Oak Hill School at Hemlocks Center,07/06/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,9,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0680011,Kent School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,10%,207,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0690011,Killingly School District,08/31/2020,"PK, K, g1","g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,25%,2426,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0690161,Natchaug Hospital School Joshua Center NE-Danielson,08/31/2020,"g8, g9, g10, g11, g12",N/A,N/A,*,11,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0690421,High Road School Hartford High: Windham County,08/27/2020,"g7, g9, g12",N/A,N/A,*,*,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0710011,Lebanon School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,952,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0720011,Ledyard School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,2265,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0730011,Lisbon School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,15%,427,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0740011,Litchfield School District,08/26/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,8%,840,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0740161,Connecticut Junior Republic,09/01/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,,48,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0740461,Touchstone School,08/31/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,*,7,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0760011,Madison School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,7%,2469,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0760161,Grove School,09/10/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,*,95,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0770011,Manchester School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,29%,5953,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0770161,Community Child Guidance Clinic School,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,33%,46,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0770221,Adelbrook-The Learning Center of Manchester,08/27/2020,"g1, g2, g3, g4, g5, g6",N/A,N/A,*,31,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0770361,Manchester Memorial Hospital Clinical Day School,09/03/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,22%,27,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0780011,Mansfield School District,09/03/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,27%,1041,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0780161,Natchaug Hospital Inpatient School,08/31/2020,N/A,N/A,N/A,N/A,0,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0780361,Natchaug Hospital Journey School,08/31/2020,g11,g10,N/A,*,*,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0790011,Marlborough School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,12%,439,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0800011,Meriden School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,41%,7965,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0800161,Meliora Academy,09/08/2020,"g3, g4, g5, g6, g7, g8, g9, g10, g12",N/A,g1,*,49,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0830011,Middletown School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,27%,4244,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0840011,Milford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,15%,5443,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0840161,Charles F. Hayden School at Boys & Girls Village,08/24/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,22%,91,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0840461,Milestones Behavioral Services-Orange,08/27/2020,"g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,32,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0840561,Milestones Behavioral Services-Milford,08/27/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,10%,61,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0846061,The Foundation School-Milford,09/08/2020,"g8, g9, g10, g11, g12",N/A,N/A,24%,33,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0846161,Woodhouse Academy,08/31/2020,N/A,N/A,"g6, g7, g8, g9, g10, g11, g12",*,20,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0850011,Monroe School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,3160,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0860011,Montville School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,1917,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0860221,Bradley School-New London Regional,09/01/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,20%,51,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0880011,Naugatuck School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,35%,4274,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0880521,IPPI Learning Academy at Prospect St. School,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,24,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0890011,New Britain School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,37%,9738,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0890261,Oak Hill School at Bristol,07/06/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,39%,31,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0890361,Raymond Hill School,08/31/2020,"g3, g4, g8, g10",N/A,"g2, g5, g6, g7, g9, g11, g12",40%,90,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0890461,Solterra Academy,08/27/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,28%,162,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0895161,Oak Hill School at Hartford Primary,07/06/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,14,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0900011,New Canaan School District,08/31/2020,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",N/A,6%,4236,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0910011,New Fairfield School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,17%,2125,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
